product_id,product_name,brand_part_number,ref_oe_number,brand_name,tag_name,small_image,big_image,stock_qty,stock_price,stock_brand,stock_part_number,stock_unique_value
16,ATF Gear Oil,V60-0007,83 22 9 407 807,Vaico,83 22 9 407 807,products/small_image/807sv.jpg,products/big_image/807bv.jpg,36,30.00,VAICO,83 22 9 407 807,"83 22 9 407 807 ,VAICO, V60-0007 (GEAR OIL)"
61,Tie Rod,CEHO13,G53541-S5A-003,CTR,53541-S5A-003,products/small_image/53541-S5A-003-BEST-PRICE-IN-DUBAI-CTR.jpg,products/big_image/53541-S5A-003-BEST-PRICE-IN-UAE-CTR.jpg,2,26.76,CTR,53541-S5A-003,"53541-S5A-003 ,CTR, CEHO13 (TIE ROD)"
68,Shock Absorber,343479,G52610-SNA-903,KYB,52610-SNA-903,products/small_image/52610-sna-903-Honda-Civic-Rear-Shock-Absorber-KYB-343479-best-price-in-sharjah-Dubai-Ajman-UAE.jpg,products/big_image/52610-sna-903-Honda-Shock-Absorber-KYB-343479-from-Japan.jpg,6,165.28,KYB,52610-SNA-903,"52610-SNA-903 ,KYB, 343479 (SHOCK ABSORBER)"
90,Grill,HD-07111GA,G71121-TE0-A01,TYG,71121-TE0-A01,products/small_image/71121-TE0-A01-Honda-Accord-Coupe-TYG-Best-Price-In-Sharjah-Dubai-UAE.jpg,products/big_image/71121-TE0-A01-Honda-Accord-TYG-Best-Price-In-Sharjah-Dubai-UAE.jpg,1,218.75,TONGYANG,71121-TE0-A01,"71121-TE0-A01 ,TONGYANG, HD-07111GA (GRILL)"
101,Brake Oil,95002200,83 13 0 139 897,Textar,Dot 4 1000 ML,products/small_image/textar-brake-oil-genuine-products-from-germany-best-price-in-sharjah-dubai-uae.jpg,products/big_image/textar-genuine-products-from-germany-best-price-in-sharjah-dubai-uae.jpg,10,30.30,TEXTAR,DOT 4 1000ML,"DOT 4 1000ML ,TEXTAR, 95002200 (BRAKE OIL)"
208,Shock Absorber,339361,G51605-SZA-A02,KYB,51605-SZA-A02,products/small_image/51605-sza-a02-honda-kyb-339361-shock-absorber-genuine-parts-best-price-in-sharjah-dubai-uae-sbu-dhabi.jpg,products/big_image/51605-sza-a02-honda-kyb-339361-shock-absorber-genuine-parts-best-price-in-sharjah-dubai-uae.jpg,1,403.68,KYB,51605-SZA-A02,"51605-SZA-A02 ,KYB, 339361 (SHOCK ABSORBER)"
209,Shock Absorber,339362,G51606-SZA-A02,KYB,51606-SZA-A02,products/small_image/51606-sza-a02-honda-kyb-339362-shock-absorber-genuine-parts-best-price-in-sharjah-dubai-uae-abu-dhabi.jpg,products/big_image/51606-sza-a02-honda-kyb-339362-shock-absorber-genuine-parts-best-price-in-sharjah-dubai-uae.jpg,1,403.68,KYB,51606-SZA-A02,"51606-SZA-A02 ,KYB, 339362 (SHOCK ABSORBER)"
219,Wiper Blade Set,3 397 007 523,61 61 2 163 749,Bosch,61 61 2 163 749,products/small_image/61612163749-bmw-bosch-genuine-wiper-blade-set-best-price-in-sharjah-dubai-uae-rafi-bmw.jpg,products/big_image/61612163749-bmw-bosch-genuine-wiper-blade-set-best-price-in-sharjah-dubai-uae.jpg,1,77.69,BOSCH,61 61 2 163 749,"61 61 2 163 749 ,BOSCH, 3 397 007 523 (WIPER)"
226,Shock Absorber,339262,G51606-SWA-E21,KYB,51606-SWA-E04,products/small_image/51606-swa-e21-honda-kyb-339262-genuine-shock-absorber-best-price-in-sharjah-dubai-uae.jpg,products/big_image/51606-swa-e21-honda-kyb-339262-genuine-shock-absorber-best-price-in-sharjah-dubai-kyb-uae.jpg,1,368.00,KYB,51606-SWA-E04,"51606-SWA-E04 ,KYB, 339262 (SHOCK ABSORBER)"
232,Cut Bush,021090F,G51306-SM4-010,RBI,51306-SM4-010,products/small_image/51306-sm4-010-honda-rbi-021090f-genuine-cut-bush-best-price-in-sharjah-dubai-uae.jpg,products/big_image/51306-sm4-010-honda-rbi-021090f-genuine-cut-bush-best-price-in-sharjah-dubai-uae-abu-dhabi.jpg,10,6.75,RBI,51306-SM4-010,"51306-SM4-010 ,RBI, 021090F (BUSH)"
14494,Oil Pressure Switch,20-73-0122,61311354274,VAICO,61 31 1 354 274,product/image1.jpeg,product/image1.jpeg,1,11.99,VAICO,61 31 1 354 274,"61 31 1 354 274 ,VAICO, 20-73-0122 (SWITCH)"
14499,Temperature Switch,20-99-1250,61311364272,VAICO,61 31 1 364 272,product/image1.jpeg,product/image1.jpeg,5,29.61,VEMO,61 31 1 364 272,"61 31 1 364 272 ,VEMO, 20-99-1250 (SWTICH)"
14502,Temperature Switch,6042,61311378073,FEBI,61 31 1 378 073,product/image1.jpeg,product/image1.jpeg,1,74.61,FEBI,61 31 1 378 073,"61 31 1 378 073 ,FEBI, 06042 (SWITCH)"
14507,Coolant Level Sensor,71788,61311378320,FEBI,61 31 1 378 320,product/image1.jpeg,product/image1.jpeg,3,56.40,FEBI,61 31 1 378 320,"61 31 1 378 320 ,FEBI, 71788 (SWITCH)"
14517,Sun Roof Switch,20-73-0006,61311387916,VEMO,61 31 1 387 916,product/image1.jpeg,product/image1.jpeg,1,42.00,VEMO,61 31 1 387 916,"61 31 1 387 916 ,VEMO, 20-73-0006 (SWITCH)"
14561,Brake Light Switch,28694,61318360421,FEBI,61 31 8 360 421,product/image1.jpeg,product/image1.jpeg,4,0.00,FEBI,61 31 8 360 421,"61 31 8 360 421 ,FEBI, 28694 (BRAKE LIGHT SWTICH)"
14571,Temperature Switch,21832,61318363677,FEBI,61 31 8 363 677,product/image1.jpeg,product/image1.jpeg,1,71.50,FEBI,61 31 8 363 677,"61 31 8 363 677 ,FEBI, 21832 (SWITCH)"
14600,Horn,3BA002768551,61331367310,HELLA,61 33 1 367 310,product/image1.jpeg,product/image1.jpeg,2,39.00,HELLA,61 33 1 367 310,"61 33 1 367 310 ,HELLA, 3BA002768551 (HORN)"
14619,Horn,20-77-0001,61338372737,VAICO,61 33 8 372 737,product/image1.jpeg,product/image1.jpeg,1,60.00,VAICO,61 33 8 372 737,"61 33 8 372 737 ,VAICO, 20-77-0001 (HORN)"
14801,Nozzle Washer,246.080/013/001Z,61661378799,VDO,61 66 1 378 799,product/image1.jpeg,product/image1.jpeg,1,84.50,VDO,61 66 1 378 799,"61 66 1 378 799 ,VDO, 246.080/013/001Z (NOZZLE)"
14993,Tail Light,444-1110L-LD-EO,63121387041,DEPO,63 12 1 387 041,product/image1.jpeg,product/image1.jpeg,1,182.50,DEPO,63 12 1 387 041,"63 12 1 387 041 ,DEPO, 444-1110L-LD-EO (LIGHT)"
15000,Tail Light,444-1110R-LD-EO,63121387042,DEPO,63 12 1 387 042,product/image1.jpeg,product/image1.jpeg,1,182.50,DEPO,63 12 1 387 042,"63 12 1 387 042 ,DEPO, 444-1110R-LD-EO (LIGHT)"
15053,Bulb,9DX159419-001,63126916097,HELLA,63 12 6 916 097,product/image1.jpeg,product/image1.jpeg,2,49.50,HELLA,63 12 6 916 097,"63 12 6 916 097 ,HELLA, 9DX159419-001 (BULB)"
15112,Fog Light,19-5710-01-9,63128371907,TYC,63 12 8 371 907,product/image1.jpeg,product/image1.jpeg,1,114.40,TYC,63 12 8 371 907,"63 12 8 371 907 ,TYC, 19-5710-01-9 (FOG LAMP)"
15114,Fog Light,19-5709-01-9,63128371908,TYC,63 12 8 371 908,product/image1.jpeg,product/image1.jpeg,1,109.20,TYC,63 12 8 371 908,"63 12 8 371 908 ,TYC, 19-5709-01-9 (FOG LAMP)"
15145,Side Indicator,444-1502R-UE-C,63131374012,DEPO,63 13 1 374 012 W,product/image1.jpeg,product/image1.jpeg,1,21.00,DEPO,63 13 1 374 012 W,"63 13 1 374 012 W ,DEPO, 444-1502R-UE-C (INDICATOR)"
15147,Side Indicator,444-1501L-UE-Y,63131384033,DEPO,63 13 1 384 033,product/image1.jpeg,product/image1.jpeg,1,22.50,DEPO,63 13 1 384 033,"63 13 1 384 033 ,DEPO, 444-1501L-UE-Y (INDICATOR)"
15149,Side Indicator,444-1501R-UE-Y,63131384034,DEPO,63 13 1 384 034,product/image1.jpeg,product/image1.jpeg,1,21.00,DEPO,63 13 1 384 034,"63 13 1 384 034 ,DEPO, 444-1501R-UE-Y (INDICATOR)"
15159,Flasher Indicator,18-0460-15-9,63132492179,TYC,63 13 2 492 179,product/image1.jpeg,product/image1.jpeg,1,15.00,TYC,63 13 2 492 179,"63 13 2 492 179 ,TYC, 18-0460-15-9 (FLASHER)"
15163,Flasher Indicator,344-1405R-AEC,63132492180,DEPO,63 13 2 492 180,product/image1.jpeg,product/image1.jpeg,1,18.00,DEPO,63 13 2 492 180,"63 13 2 492 180 ,DEPO, 344-1405R-AEC (FLASHER)"
15164,Flasher Indicator,18-0459-15-9,63132492180,TYC,63 13 2 492 180,product/image1.jpeg,product/image1.jpeg,1,15.00,TYC,63 13 2 492 180,"63 13 2 492 180 ,TYC, 18-0459-15-9 (FLASHER)"
